topic,category,topic_label,negative_count,avg_intensity,avg_impact,avg_product,priority_score,impact3_count,example_id,evidence,suggestion
crash,BUG,闪退/启动失败,25,2.28,2.64,6.12,153,16,appstore-cn-14540935921,"根本进不去游戏有病吧
点进去他就不停的就不让我玩",收集设备和版本信息，复现点击进入后的卡死或启动失败并核对日志。
network,性能优化,延迟/掉线,26,2.038,1.962,4.3076923076923075,112,6,appstore-cn-14541310463,什么样叫下载到99.99跟我说不行啊？？？啊？？？等半天大退又进的半个小时了一个乐园都没玩到，到底给不给人玩啊，还动不动就跳网络不行,收集下载进度、卡住时长与网络提示日志，排查下载校验及弱网重连机制是否异常。
login_account,账号服务,登录/账号/防沉迷,16,2.5,2.0,5.0,80,7,appstore-cn-14543505331,妈的，官方你个老不死的上线号登不上我都怪你,核实该玩家账号登录状态及封禁/异常记录，排查登录失败原因并主动沟通。
matchmaking,数值平衡,匹配公平性,13,2.308,1.923,4.384615384615385,57,1,appstore-cn-14542511894,"太难玩了
刚毅不想想为什么现在很多人都不玩巅峰派对了吗？因为现在老多人都是偷鸡的，你能不能改改呀？为什么都是bug？而且为什么让我一直输？我已经连输了十多把了为什么不让我赢一把？我现在已经把你这个App给卸了，伤心了，作为一名十年蛋仔玩家",核实巅峰派对近期对局中是否存在偷鸡与BUG，并抽查连败玩家的匹配与结算记录，确认匹配与胜负机制是否异常。
bug_other,BUG,其他功能异常,14,2.071,1.571,3.2857142857142856,46,1,appstore-cn-14539634844,根本玩不了各种bug，还有一些抄袭玩法,核实具体bug类型与触发场景，收集复现步骤；同时按合规流程记录抄袭指控并转交法务/内容评估。
balance,数值平衡,强度/收益失衡,12,2.167,1.667,3.5,42,0,appstore-cn-14541747107,疯人院的爆率是不是太低了 低的我都不想说 还有怪还多 怪在这么多的情况下还要削弱蛋小绿我真不知道怎么想的,核查疯人院爆率配置与怪物数量、模特硬控时长及蛋小绿削弱数据，结合玩家反馈评估平衡性。
community,社区生态,辱骂/骚扰/社交环境,13,2.0,1.308,2.6923076923076925,35,0,appstore-cn-14540896913,揪出捣蛋鬼的风气越来越差了，刚毅什么时候能管一下那些人？,核查捣蛋鬼与惊魂夜对局中的辱骂、嘲讽、放血鞭尸等行为，结合举报记录评估治理现状，并向玩家同步社区治理措施。
fps,性能优化,帧率/卡顿,13,1.615,1.538,2.6153846153846154,34,0,appstore-cn-14540349147,帧率不好一直卡死,收集设备型号与画质设置，复现卡死场景并核查性能日志。
rank_scoring,数值平衡,排位加减分机制,6,2.5,2.0,5.0,30,0,appstore-cn-14535750225,什么加分机制。输一把直接扣我二十。好不容易进决赛就给我加几分。你打发要饭的呢。 现在上2600了每把都莫名其妙给我网卡,核查段位加分/扣分规则与高分段网络判定，核对被扣信誉分对局的网络日志及挂机判定逻辑。
progress,BUG,存档/进度异常,4,2.25,2.75,6.25,25,3,appstore-cn-14517569596,因为他把我八亿上锁的作物给卖了！！！！！！！！,核实元宝猪机制是否可能出售上锁作物，复现并检查上锁作物的保护逻辑，评估受影响玩家的资产损失。
